Time,Speed(MPH),Location,County,State,LAT,LON,Remarks,,
2027,UNK,SPRINGFIELD,CLARK,OH,39.93,-83.8,LARGE BRANCHES DOWN (ILN),,
2028,UNK,1 SE NORTH LEWISBURG,CHAMPAIGN,OH,40.21,-83.54,LARGE TREES DOWN. POWER POLES SNAPPED. TREE ON A HOUSE. MULTIPLE ROADS BLOCKED. FROM SPOTTERNETWORK.ORG (ILN),,
2028,UNK,2 N RUSHVILLE,RUSH,IN,39.64,-85.45,NUMEROUS TREES AND POWER LINES DOWN. (IND),,
2030,60,BEAVERCREEK,GREENE,OH,39.73,-84.06,MANY LIMBS LESS THAN 3 INCHES IN DIAMETER BLOWN OFF TREES. (ILN),,
2030,UNK,DAYTON,MONTGOMERY,OH,39.78,-84.2,STRUCTURAL DAMAGE AT DAYTON MALL. (ILN),,
2030,UNK,MARYSVILLE,UNION,OH,40.24,-83.37,ROOF COLLAPSE OF HISTORIC BUILDING IN UPTOWN AREA. TIME ESTIMATED. (ILN),,
2030,UNK,MARYSVILLE,UNION,OH,40.24,-83.37,TREES DOWN AND QUARTER SIZED HAIL. (ILN),,
2030,UNK,1 N FAIRBORN,GREENE,OH,39.82,-84.02,TREE SNAPPED IN OSBORN PARK (ILN),,
2031,60,EATON,PREBLE,OH,39.75,-84.63,BRANCHES DOWN. (ILN),,
2031,60,EATON,PREBLE,OH,39.75,-84.63,(ILN),,
2032,UNK,KETTERING,MONTGOMERY,OH,39.7,-84.15,TREE DOWN (ILN),,
2032,UNK,2 SSW KETTERING,MONTGOMERY,OH,39.67,-84.17,SEVERAL BIG TREES DOWN IN THE AREA AROUND RAHN RD AND MAD RIVER RD. TIME ESTIMATED FROM RADAR. (ILN),,
2032,UNK,2 W SOUTHPORT,MARION,IN,39.66,-86.15,TREE DOWN ON ROAD NEAR 37 (IND),,
2034,UNK,1 NNW DES MOINES,POLK,IA,41.59,-93.62,5 INCH DIAMETER TREE LIMB DOWN AT THE INTERSECTION OF 5TH AVE AND WATSON POWELL. TIME ESTIMATED BY RADAR. (DMX),,
2035,UNK,6 WNW MARION,MARION,OH,40.62,-83.23,SEVERAL TREES AND LIMBS DOWN. (CLE),,
2036,UNK,FRANKLIN,WARREN,OH,39.55,-84.3,TWO TREES DOWN (ILN),,
2037,60,CENTERVILLE,MONTGOMERY,OH,39.64,-84.14,(ILN),,
2037,60,1 NE XENIA,GREENE,OH,39.7,-83.93,(ILN),,
2037,UNK,BELLEFONTAINE,LOGAN,OH,40.36,-83.76,NUMEROUS LARGE TREES AND LIMBS ARE DOWN THROUGHOUT THE COUNTY. POWER LINES DOWN. 2 HOUSE FIRES. (ILN),,
2037,UNK,VANLUE,HANCOCK,OH,40.98,-83.48,TREES DOWN. (CLE),,
2037,UNK,2 NW LONDON,MADISON,OH,39.91,-83.47,LARGE TREE DOWN ON A SIDE OF A HOUSE (ILN),,
2039,UNK,2 SE CARLISLE,WARREN,OH,39.56,-84.3,NUMEROUS TREES DOWNED NEAR DOWNTOWN FRANKLIN. SOME ROOF AND CAR DAMAGE DUE TO THE WINDS AND FALLING TREES. (ILN),,
2039,UNK,2 SSE CARLISLE,WARREN,OH,39.55,-84.3,TREES DOWNED ON RANDALL ROAD NEAR FRANKLIN OHIO. (ILN),,
2040,UNK,TRENTON,BUTLER,OH,39.48,-84.46,NUMEROUS LARGE TREES DOWN WITH SIDING DAMAGE TO SEVERAL HOMES. (ILN),,
2040,UNK,XENIA,GREENE,OH,39.69,-83.94,LARGE TREE BRANCHES DOWN. (ILN),,
2040,UNK,4 N MARION,MARION,OH,40.64,-83.13,SEMI TRUCK ROLLED OVER. (CLE),,
2040,UNK,5 NNW LONDON,MADISON,OH,39.95,-83.49,A 60 X 108 FOOT POLE BARN WAS DESTROYED. NUMEROUS TREES WERE DOWNED. (ILN),,
2041,UNK,CHOCTAW LAKE,MADISON,OH,39.96,-83.49,NUMEROUS TREES AND POWER LINES DOWN (ILN),,
2042,UNK,1 SE MILFORD,DECATUR,IN,39.34,-85.61,TREE DOWN... 1 1 2 TO 2 FEET IN DIAMETER (IND),,
2042,UNK,2 SW MARION,MARION,OH,40.56,-83.15,TREES DOWNED. SHEET METAL STRIPPED OFF BARNS AND BARN ROOF. (CLE),,
2042,UNK,6 WSW MONROE,BUTLER,OH,39.43,-84.45,DAMAGE TO OUTBUILDINGS WITH A FEW LARGE TREE LIMBS DOWNED. (ILN),,
2044,UNK,MARYSVILLE,UNION,OH,40.24,-83.37,LARGE TREE LIMBS DOWN (ILN),,
2044,UNK,3 SW NEW RIEGEL,SENECA,OH,41.02,-83.36,NUMEROUS TREES DOWN,NO POWER. (CLE),
2045,UNK,MONROE,BUTLER,OH,39.45,-84.35,LARGE TREE DOWN ON LEBANON STREET (ILN),,
2045,UNK,6 NNW FAIRFIELD,BUTLER,OH,39.41,-84.57,A BRICK CHIMNEY WAS BLOWN OFF A HOUSE IN HAMILTON. (ILN),,
2046,63,KMWO MIDDLETOWN APT,BUTLER,OH,39.53,-84.4,(ILN),,
2047,64,KDLZ DELAWARE APT,DELAWARE,OH,40.28,-83.11,(ILN),,
2047,UNK,HAMILTON,BUTLER,OH,39.39,-84.56,2 LARGE TREES DOWN. (ILN),,
2050,UNK,DELAWARE,DELAWARE,OH,40.3,-83.08,TREES DOWN AND POWER LINES DOWN (ILN),,
2050,UNK,FAIRFIELD,BUTLER,OH,39.33,-84.54,TREE SNAPPED OFF. (ILN),,
2050,UNK,POWELL,DELAWARE,OH,40.16,-83.07,2 LARGE TREES DOWN. (ILN),,
2050,UNK,3 ESE DELAWARE,DELAWARE,OH,40.28,-83.03,TREES DOWN ALONG CURVE RD. (ILN),,
2050,UNK,3 SE DUBLIN,FRANKLIN,OH,40.09,-83.1,NUMEROUS TREES UPROOTED AND SEVERAL OTHERS PARTIALLY DOWNED ON CRANSTON DRIVE IN DUBLIN. (ILN),,
2052,80,DUBLIN,FRANKLIN,OH,40.12,-83.13,TREES DOWN. (ILN),,
2053,82,KOSU OSU AIRPORT,FRANKLIN,OH,40.08,-83.07,(ILN),,
2054,62,MARION,MARION,OH,40.58,-83.13,ODOT GARAGE SENSOR. (CLE),,
2054,UNK,N WILMINGTON,CLINTON,OH,39.45,-83.83,TREES DOWN. (ILN),,
2054,UNK,WORTHINGTON,FRANKLIN,OH,40.1,-83.02,SEVERAL TREES DOWN (ILN),,
2054,UNK,3 ENE JEFFERSONVILLE,FAYETTE,OH,39.67,-83.5,A TRACTOR TRAILER WAS BLOWN OVER ON INTERSTATE 71. (ILN),,
2054,UNK,6 N WILMINGTON,CLINTON,OH,39.53,-83.83,TREES DOWN. 56 MPH MEASURED GUST. (ILN),,
2055,UNK,MASON,WARREN,OH,39.36,-84.31,LARGE TREE DOWN (ILN),,
2055,UNK,PEEBLES,ADAMS,OH,38.95,-83.41,TREES DOWN AND POWER OUT. (ILN),,
2056,70,MOUNT GILEAD,MORROW,OH,40.55,-82.84,(CLE),,
2057,69,HARRISON,HAMILTON,OH,39.25,-84.79,NEAR INTERSTATE 74 (ILN),,
2057,UNK,5 NE UPPER ARLINGTON,FRANKLIN,OH,40.09,-83.01,NUMEROUS TREES DOWNED ON STAFFORD AND CLEARVIEW STREETS. (ILN),,
2057,UNK,5 WSW WESTERVILLE,FRANKLIN,OH,40.1,-83.01,NUMEROUS TREES DOWNED ON NORTHLAND AND PROPRIETORS ROADS. (ILN),,
2059,63,2 WSW BRIDGEVILLE,MUSKINGUM,OH,39.96,-81.9,(PBZ),,
2059,UNK,MOUNT STERLING,MADISON,OH,39.72,-83.27,BRICK STRUCTURE IN DOWNTOWN AREA WITH A ROOF OFF (ILN),,
2059,UNK,WORTHINGTON,FRANKLIN,OH,40.1,-83.02,TREES DOWN. VIA BROADCAST MEDIA (ILN),,
2059,UNK,2 SW WESTERVILLE,FRANKLIN,OH,40.1,-82.95,NUMEROUS LARGE LIMBS DOWN AND SHINGLES RIPPED OFF HOMES NEAR I-270 AND CLEVELAND AVE. TIME ESTIMATED FROM RADAR. (ILN),,
2100,67,KILN WILMINGTON APT,CLINTON,OH,39.43,-83.79,(ILN),,
2100,80,3 WNW MOUNT GILEAD,MORROW,OH,40.57,-82.89,70-80 MPH ESTIMATED GUST IN EDISON. (CLE),,
2100,UNK,BRIGHT,DEARBORN,IN,39.2,-84.86,TREES DOWN (ILN),,
2100,UNK,LANDEN,WARREN,OH,39.31,-84.28,LARGE TREES DOWN ALONG US 22 IN DEERFIELD TOWNSHIP (ILN),,
2100,UNK,MADEIRA,HAMILTON,OH,39.18,-84.37,LARGE TREE LIMBS DOWN. (ILN),,
2100,UNK,MAINEVILLE,WARREN,OH,39.32,-84.22,2 TREES DOWN (ILN),,
2100,UNK,1 W WILMINGTON,CLINTON,OH,39.45,-83.85,4 INCH BRANCH BROKEN. (ILN),,
2100,UNK,2 E LEBANON,WARREN,OH,39.43,-84.18,SEVERAL TREES DOWN NEAR LIBERTY KEUTER ROAD AND OREGONIA ROAD. (ILN),,
2100,UNK,3 NNW DOWNTOWN COLUMBUS,FRANKLIN,OH,40,-83.03,TREES DOWN ON OSU CAMPUS (ILN),,
2101,58,KILN WILMINGTON APT,CLINTON,OH,39.43,-83.79,(ILN),,
2101,UNK,COLUMBUS,FRANKLIN,OH,39.99,-82.99,ONE FOOT DIAMETER TREE SNAPPED (ILN),,
2102,61,2 SE WILMINGTON,CLINTON,OH,39.43,-83.8,AT NWS WILMINGTON. (ILN),,
2102,71,3 E HUBER RIDGE,FRANKLIN,OH,40.09,-82.86,(ILN),,
2102,UNK,GALION,CRAWFORD,OH,40.73,-82.79,WALL OF ATTACHED GARAGE BLOWN OUT/DAMAGED. (CLE),,
2102,UNK,4 SSE MOUNT GILEAD,MORROW,OH,40.5,-82.81,UTILITY POLES DOWN. (CLE),,
2103,UNK,COLUMBUS,FRANKLIN,OH,39.99,-82.99,LARGE TREES DOWN. (ILN),,
2103,UNK,GOSHEN,CLERMONT,OH,39.23,-84.16,TREE UPROOTED. TIME CORRECTED FROM 530 PM TO 503 PM. (ILN),,
2103,UNK,WASHINGTON COURT HOUSE,FAYETTE,OH,39.54,-83.43,LARGE 100 YEAR OLD TREE UPROOTED. NUMEROUS TREES AND BRANCHES DOWN AROUND FAYETTE COUNTY. THREE SEMI TRUCKS OVERTURNED ON I-71. (ILN),,
2103,UNK,3 SSE WILMINGTON,CLINTON,OH,39.4,-83.82,ONE LARGE TREE,ONE SMALL TREE AND NUMEROUS BRANCHES DOWN ON BERLIN RD. (ILN),
2105,65,MADEIRA,HAMILTON,OH,39.18,-84.37,SHUTTER OFF HOUSE. POWER LINES DOWN. (ILN),,
2105,70,1 E WESTERVILLE,FRANKLIN,OH,40.12,-82.9,(ILN),,
2105,UNK,NEW ALBANY,FRANKLIN,OH,40.08,-82.81,LARGE TREES DOWN. (ILN),,
2105,UNK,2 N COLUMBUS,FRANKLIN,OH,40.02,-82.99,TREES DOWN ON THE OHIO STATE UNIVERSITY CAMPUS. (ILN),,
2105,UNK,4 SE MILFORD,CLERMONT,OH,39.13,-84.23,LARGE TREES DOWN. TIME ESTIMATED (ILN),,
2105,UNK,8 NE MOUNT GILEAD,MORROW,OH,40.63,-82.73,SIDING OFF OF TWO HOMES. (CLE),,
2106,72,KCMH PORT COLUMBUS APT,FRANKLIN,OH,40,-82.89,AT PORT COLUMBUS INTERNATIONAL AIRPORT (ILN),,
2106,UNK,BLACKLICK ESTATES,FRANKLIN,OH,39.9,-82.86,SIDING RIPPED FROM A HOME. TIME ESTIMATED. (ILN),,
2107,72,2 NNE GAHANNA,FRANKLIN,OH,40.06,-82.86,(ILN),,
2107,83,3 NNE GAHANNA,FRANKLIN,OH,40.06,-82.86,NUMEROUS TREES DOWN (ILN),,
2107,UNK,2 SW JOHNSTOWN,LICKING,OH,40.13,-82.71,NUMEROUS TREES DOWNED NEAR DUNCAN PLAINS ROAD. (ILN),,
2108,60,3 SSW NEWTON,JASPER,IA,41.65,-93.08,3 MILES ESE OF METZ (DMX),,
2108,UNK,JOHNSTOWN,LICKING,OH,40.15,-82.69,NUMEROUS TREES DOWNED IN JOHNSTOWN. TWO ROOVES WERE REMOVED FROM HOUSES. (ILN),,
2108,UNK,3 NNE GAHANNA,FRANKLIN,OH,40.07,-82.86,*** 1 INJ *** AT LEAST A DOZEN POWER POLES SNAPPED ALONG HAMILTON RD. AT LEAST ONE INJURY FROM POLE FALLING ON CAR. (ILN),,
2110,60,3 WNW LEXINGTON,MORROW,OH,40.69,-82.64,AT MID OHIO RACE TRACK. (CLE),,
2110,75,1 W DUBLIN,FRANKLIN,OH,40.12,-83.15,POLES SNAPPED AND WIRES DOWN (ILN),,
2110,UNK,COLUMBUS,FRANKLIN,OH,39.99,-82.99,TREES DOWN,2 STRUCTURES HIT BY TREES (ILN),
2110,UNK,UPPER ARLINGTON,FRANKLIN,OH,40.03,-83.07,WIDESPREAD TREE DAMAGE HERE AND IN CLINTONVILLE...AND WORTHINGTON. MOST OF FRANKLIN COUNTY. (ILN),,
2110,UNK,4 SSW NEW VIENNA,HIGHLAND,OH,39.27,-83.71,SEVERAL TREES DOWN ALONG DADE ROAD. TIME ESTIMATED FROM RADAR. (ILN),,
2111,66,KLCK RICKENBACKER APT,FRANKLIN,OH,39.81,-82.93,AT RICKENBACKER AFB. (ILN),,
2112,UNK,NEW VIENNA,CLINTON,OH,39.32,-83.69,SMALL TREES DOWN. NO ELECTRIC POWER IN THE TOWN. (ILN),,
2113,UNK,3 SSE LYNCHBURG,HIGHLAND,OH,39.2,-83.78,SEVERAL TREES UPROOTED ALONG SR 135 NEAR ALLENSBURG. (ILN),,
2113,UNK,7 WNW PELLA AIRPORT,MARION,IA,41.44,-93.07,VERY STRONG WINDS KNOCKED DOWN SEVERAL LARGE LIMBS JUST NORTH OF LAKE RED ROCK. SPOTTER ESTIMATED WINDS IN EXCESS OF 60 MPH. (DMX),,
2114,UNK,4 NNW COLD SPRING,CAMPBELL,KY,39.08,-84.48,TREES DOWNED IN NEWPORT. (ILN),,
2114,UNK,4 W HILLSBORO,HIGHLAND,OH,39.21,-83.68,A TREE FELL ON A MOBILE HOME NEAR THE INTERSECTION OF MAD RIVER AND RIBER ROADS. TIME ESTIMATED FROM RADAR. (ILN),,
2115,66,NEWARK,LICKING,OH,40.07,-82.42,(ILN),,
2115,66,2 SE JOHNSTOWN,LICKING,OH,40.12,-82.66,(ILN),,
2115,UNK,BLUE ASH,HAMILTON,OH,39.25,-84.38,LARGE TREE BRANCHES DOWN (ILN),,
2115,UNK,FAYETTEVILLE,BROWN,OH,39.19,-83.93,TREES DOWN. (ILN),,
2115,UNK,WESTERVILLE,FRANKLIN,OH,40.12,-82.92,LARGE TREES AND LIMBS DOWN. (ILN),,
2115,UNK,2 N LANCASTER,FAIRFIELD,OH,39.75,-82.6,TREES DOWN...SHINGLES OFF THE ROOF. NO POWER. (ILN),,
2116,60,4 N NEW HAVEN,ALLEN,IN,41.13,-85.03,(IWX),,
2117,59,KLUK LUNKEN AIRPORT,HAMILTON,OH,39.1,-84.42,AT LUNKEN FIELD. (ILN),,
2117,65,LEXINGTON,RICHLAND,OH,40.68,-82.59,(CLE),,
2117,UNK,4 W HILLSBORO,HIGHLAND,OH,39.21,-83.68,A TREE FELL ON A MOBILE HOME NEAR THE INTERSECTION OF MAD RIVER AND RIBER ROADS. (ILN),,
2118,60,LEXINGTON,RICHLAND,OH,40.68,-82.59,LARGE BRANCHES DOWN. (CLE),,
2119,59,2 E PELLA AIRPORT,MARION,IA,41.4,-92.9,(DMX),,
2119,UNK,1 S CIRCLEVILLE,PICKAWAY,OH,39.59,-82.94,A LARGE TREE WAS DOWNED ON A HOUSE ON HALF AVENUE. (ILN),,
2120,UNK,DAAQUAM,AROOSTOOK,ME,46.6,-70.01,SEVERAL LARGE TREES DOWN (CAR),,
2120,UNK,MOUNT VERNON,KNOX,OH,40.39,-82.48,TREES DOWN ON MAIN STREET AND A UTILITY POLE DOWN. (CLE),,
2120,UNK,1 E BUTLER,RICHLAND,OH,40.59,-82.4,10-12 INCH DIAMETER TREE LIMBS DOWN. (CLE),,
2121,UNK,CIRCLEVILLE,PICKAWAY,OH,39.6,-82.94,2 LARGE BRANCHES DOWN. (ILN),,
2122,UNK,GRANVILLE,LICKING,OH,40.07,-82.5,TREES DOWN (ILN),,
2123,UNK,BELLVILLE,RICHLAND,OH,40.62,-82.51,TREES DOWN. (CLE),,
2125,69,KLHQ LANCASTER APT,FAIRFIELD,OH,39.76,-82.66,(ILN),,
2125,71,BALTIMORE,FAIRFIELD,OH,39.85,-82.61,NUMEROUS LARGE LIMBS AND SMALL TREES DOWN. ONE FELL ON A VEHICLE. (ILN),,
2125,UNK,ALEXANDRIA,CAMPBELL,KY,38.96,-84.38,NUMEROUS TREES DOWN (ILN),,
2125,UNK,2 N MARSHALL,HIGHLAND,OH,39.18,-83.47,A GARAGE WAS DESTROYED...NUMEROUS TREES WERE DOWNED...AND A ROOF WAS TAKEN OFF A BARN. ONE HORSE WAS KILLED. (ILN),,
2125,UNK,3 S DRY RUN,HAMILTON,OH,39.06,-84.33,LARGE BRANCHES DOWN IN ANDERSON TOWNSHIP (ILN),,
2126,70,NEWARK,LICKING,OH,40.07,-82.42,(ILN),,
2126,UNK,2 SW LANCASTER,FAIRFIELD,OH,39.7,-82.63,SEVERAL TREES DOWN ALONG ROUTE 22 BETWEEN AMANDA AND LANCASTER. (ILN),,
2127,UNK,CIRCLEVILLE,PICKAWAY,OH,39.6,-82.94,LARGE TREE LIMBS DOWN. (ILN),,
2127,UNK,GREENFIELD,HIGHLAND,OH,39.35,-83.39,TREE BRANCHES DOWN (ILN),,
2130,UNK,GOSHEN,CLERMONT,OH,39.23,-84.16,TREE UPROOTED. TIME ESTIMATED (ILN),,
2130,UNK,SUGAR GROVE,FAIRFIELD,OH,39.63,-82.55,TREES DOWN (ILN),,
2130,UNK,1 E LANCASTER,FAIRFIELD,OH,39.72,-82.58,MULTIPLE LARGE TREE LIMBS DOWNED. SIDING DAMAGE TO BUILDINGS. (ILN),,
2130,UNK,1 SW SEARSBORO,POWESHIEK,IA,41.57,-92.72,BARN DESTROYED. RELAYED FROM SOCIAL MEDIA WEBSITE. TIME ESTIMATED BY RADAR. (DMX),,
2130,UNK,1 SW SEARSBORO,POWESHIEK,IA,41.57,-92.72,RELAYED FROM SOCIAL MEDIA WEBSITE. TIME ESTIMATED BY RADAR. (DMX),,
2131,UNK,LANCASTER,FAIRFIELD,OH,39.72,-82.6,TREE FELL INTO A HOUSE (ILN),,
2131,UNK,SSW LANCASTER,FAIRFIELD,OH,39.72,-82.6,A LARGE TREE WAS DOWNED ON A PICKUP TRUCK. SIDING DAMAGE REPORTED AT A HOUSE. (ILN),,
2133,UNK,1 NE CHILLICOTHE,ROSS,OH,39.34,-82.98,A METAL ROOF WAS REMOVED FROM A BUILDING ON RACE STREET. (ILN),,
2133,UNK,1 SSE GRINNELL AIRPORT,POWESHIEK,IA,41.7,-92.73,SEVERAL LARGE ROAD SIGNS AND LARGE TREE LIMBS DOWN NEAR INTERSTATE 80 SOUTH OF GRINNELL. QUARTER SIZE HAIL REPORTED AS WELL. (DMX),,
2134,81,LANCASTER,FAIRFIELD,OH,39.72,-82.6,(ILN),,
2135,72,3 S GRINNELL,POWESHIEK,IA,41.7,-92.73,MEASURED BY AN IOWA DOT RWIS SITE ON INTERSTATE 80. REPORTS OF A SEMI JACK KNIFED IN THE AREA AS WELL. (DMX),,
2135,UNK,AMANDA,FAIRFIELD,OH,39.65,-82.74,LARGE TREES DOWN. (ILN),,
2136,UNK,N FELICITY,CLERMONT,OH,38.84,-84.1,4-6 MILE STRETCH NORTH OF FELICITY WITH NUMEROUS TREES DOWN ALONG HIGHWAY (ILN),,
2137,UNK,5 N ROCKBRIDGE,FAIRFIELD,OH,39.65,-82.53,HORNS MILL ROAD WAS CLOSED DUE TO NUMEROUS TREES DOWNED. (ILN),,
2138,UNK,MASSIEVILLE,ROSS,OH,39.27,-82.97,NUMEROUS TREES AND POWER LINES DOWN IN MASSIEVILLE AND ELSEWHERE AROUND ROSS COUNTY (ILN),,
2139,60,1 NE GRINNELL,POWESHIEK,IA,41.75,-92.71,(DMX),,
2140,66,1 W MONTEZUMA,POWESHIEK,IA,41.58,-92.55,PEAK WIND GUST MEASURED BY WEATHER STATION AT THE WATER TREATMENT PLANT. TIME ESTIMATED FROM RADAR. (DMX),,
2140,UNK,BREMEN,FAIRFIELD,OH,39.71,-82.43,MULTIPLE TREES WERE REPORTED DOWN DUE TO THUNDERSTORM WINDS. (ILN),,
2140,UNK,GEORGETOWN,BROWN,OH,38.87,-83.9,ONE TREE DOWN (ILN),,
2140,UNK,HILLSBORO,HIGHLAND,OH,39.21,-83.61,POWER OUT. (ILN),,
2140,UNK,5 ENE MOORESVILLE,ROSS,OH,39.36,-82.77,NUMEROUS TREES DOWNED IN TAR HOLLOW STATE FOREST. (ILN),,
2141,60,CRITTENDEN,GRANT,KY,38.78,-84.61,(ILN),,
2141,UNK,3 W PEEBLES,ADAMS,OH,38.95,-83.47,TREE ON A MOBILE HOME. (ILN),,
2142,60,SPARTA,GALLATIN,KY,38.68,-84.91,WINDS ESTIMATED 50-60 MPH. TREES UPROOTED. AWNINGS DAMAGED. FROM KENTUCKY SPEEDWAY. (ILN),,
2142,UNK,IDAHO,PIKE,OH,39.09,-83.14,NUMEROUS TREES DOWN (ILN),,
2142,UNK,PEEBLES,ADAMS,OH,38.95,-83.41,TREES DOWN AND POWER OUT. CORRECTED TIME FROM 455 PM TO 542 PM. (ILN),,
2144,UNK,1 WSW MORNING VIEW,KENTON,KY,38.83,-84.47,LARGE LIMBS DOWN. (ILN),,
2144,UNK,2 WNW WAVERLY,PIKE,OH,39.13,-83.01,OHIO ROUTE 220 CLOSED WEST OF WAVERLY DUE TO DOWNED POWER LINES. (ILN),,
2144,UNK,3 WSW WAVERLY,PIKE,OH,39.11,-83.03,OHIO ROUTE 551 CLOSED NEAR LAKE WHITE DUE TO DOWNED POWER LINES. (ILN),,
2145,58,1 NNW BROOKLYN,POWESHIEK,IA,41.74,-92.45,FROM KCCI SCHOOLNET SBRI4 (DMX),,
2145,UNK,BROOKLYN,POWESHIEK,IA,41.73,-92.44,MANY TREES AND TREE LIMBS DOWN ACROSS THE CITY WITH SOME TREES ON ROOFS. TIME ESTIMATED FROM RADAR. (DMX),,
2145,UNK,LOGAN,HOCKING,OH,39.54,-82.4,LARGE TREE SNAPPED MIDWAY UP. NUMEROUS LARGE TREE BRANCHES DOWN. (ILN),,
2145,UNK,WAVERLY,PIKE,OH,39.13,-82.98,TREES DOWN...SOME ON POWER LINES. MULTIPLE LARGE BRANCHES DOWN. (ILN),,
2145,UNK,ZANESVILLE,MUSKINGUM,OH,39.94,-82.01,MULTIPLE TREES DOWN. REPORT FROM ILN (PBZ),,
2145,UNK,1 NNE HOCKING HILLS STA,HOCKING,OH,39.43,-82.54,NUMEROUS TREES DOWNED IN HOCKING HILLS STATE PARK. (ILN),,
2147,UNK,1 NE GRINNELL,POWESHIEK,IA,41.75,-92.71,3 TO 4 LARGE TREE LIMBS...GENERALLY 3 TO 5 INCHES IN DIAMETER DOWN. ONE BRANCH WAS 20 FOOT LONG. (DMX),,
2147,UNK,1 W LOUDONVILLE,ASHLAND,OH,40.63,-82.25,MULTIPLE TREES DOWN IN MOHICAN STATE PARK. (CLE),,
2147,UNK,7 S MILLERSBURG,HOLMES,OH,40.45,-81.92,SEVERAL TREES AND LIMBS DOWN IN CLARK. (CLE),,
2149,70,SPARTA,GALLATIN,KY,38.68,-84.91,STAGING SET COLLAPSED AT KENTUCKY SPEEDWAY. CANOPIES BLOWN OVER. TIME ESTIMATED (ILN),,
2149,UNK,LOCUST GROVE,ADAMS,OH,38.99,-83.38,NUMEROUS ROADS CLOSED ACROSS THE AREA DUE TO SNAPPED TREES. (ILN),,
2150,62,NEW LEXINGTON,PERRY,OH,39.71,-82.21,(RLX),,
2150,UNK,BLUE ROCK,MUSKINGUM,OH,39.8,-81.89,MULTIPLE TREES DOWN. ROOF BLOWN OFF. GARAGE DESTROYED. (PBZ),,
2150,UNK,CAMBRIDGE,GUERNSEY,OH,40.02,-81.59,STRUCTURAL DAMAGE (PBZ),,
2150,UNK,NEW LEXINGTON,PERRY,OH,39.71,-82.21,LOTS OF TREES DOWN IN AND AROUND TOWN. TIME ESTIMATED BY RADAR. (RLX),,
2152,UNK,1 W WAVERLY,PIKE,OH,39.13,-83,SEVERAL TREES DOWN. SPORADIC POWER OUTAGES. (ILN),,
2153,63,2 WSW BRIDGEVILLE,MUSKINGUM,OH,39.96,-81.9,(PBZ),,
2155,70,1 NNW BROOKLYN,POWESHIEK,IA,41.74,-92.45,HIGHEST GUST MEASURED THUS FAR BY KCCI SCHOOLNET SITE. (DMX),,
2157,UNK,COSHOCTON,COSHOCTON,OH,40.26,-81.85,MULTIPLE TREES DOWN (PBZ),,
2157,UNK,1 SSW BEAVER,PIKE,OH,39.02,-82.83,OHIO ROUTE 335 CLOSED NEAR BEAVER DUE TO DOWNED POWER LINES. (ILN),,
2159,80,2 SSW LADORA,IOWA,IA,41.73,-92.2,SPOTTER IA-4 (DVN),,
2200,60,S CHELSEA,TAMA,IA,41.92,-92.39,WIND STILL GUSTING 50 TO 60 MPH AT 505 PM. (DMX),,
2200,68,2 WSW BRIDGEVILLE,MUSKINGUM,OH,39.96,-81.9,PEAK WIND GUST AT KZZV ASOS. (PBZ),,
2200,UNK,COSHOCTON,COSHOCTON,OH,40.26,-81.85,LOTS OF TREES DOWN. POWER OUTAGES. STRUCTURAL DAMAGE (PBZ),,
2200,UNK,LUCASVILLE,SCIOTO,OH,38.88,-83,TREES DOWN. (ILN),,
2200,UNK,NEW CONCORD,MUSKINGUM,OH,39.99,-81.73,LARGE TREES BLOWN DOWN. (PBZ),,
2200,UNK,NORWICH,MUSKINGUM,OH,39.98,-81.79,MULTIPLE TREES DOWN (PBZ),,
2200,UNK,WILLIAMSBURG,IOWA,IA,41.67,-92.01,POWER POLE SNAPPED IN HALF ALONG COUNTRY ROAD M (DVN),,
2200,UNK,2 S ZANESVILLE,MUSKINGUM,OH,39.91,-82.01,TREES DOWN (PBZ),,
2201,UNK,5 NNW MOUNT OLIVET,ROBERTSON,KY,38.6,-84.08,ROOF COMPLETELY RIPPED OFF BARN ON ROUTE 165 NEAR BRACKEN COUNTY LINE. NUMEROUS OTHER REPORTS OF BARNS DAMAGED AND TREES DOWNED ACROSS ROBERTSON COUNTY. TIME ESTIMATED (ILN),,
2203,58,1 SSE NEW CONCORD,MUSKINGUM,OH,39.98,-81.73,MESONET SITE (PBZ),,
2203,UNK,MAYSVILLE,MASON,KY,38.63,-83.78,ROOF DAMAGE TO PIZZA HUT. NUMEROUS TREES DOWN IN AREA. (ILN),,
2204,UNK,LUCASVILLE,SCIOTO,OH,38.88,-83,SIGNIFICANT TREE DAMAGE AROUND THE CITY (ILN),,
2205,60,2 WSW MAYSVILLE,MASON,KY,38.62,-83.81,KENTUCKY MESONET (ILN),,
2205,UNK,4 NE WEST UNION,ADAMS,OH,38.83,-83.49,LARGE TREE DOWN ON TRAILER. (ILN),,
2206,UNK,BELLE PLAINE,BENTON,IA,41.9,-92.27,WIDESPREAD TREE LIMBS AND POWER LINES DOWN ACROSS THE SOUTHERN THIRD OF BENTON COUNTY (DVN),,
2206,UNK,RARDEN,SCIOTO,OH,38.92,-83.24,TREES DOWN. STRUCTURAL DAMAGE INCLUDING ROOF DAMAGE. (ILN),,
2207,60,4 W WILLIAMSBURG,IOWA,IA,41.67,-92.09,(DVN),,
